name,type,cuisine,location,phone,image,city
阿村牛肉湯,必比登推薦,台灣小吃,台南市中西區保安路,,,台南市
阿明豬心冬粉,必比登推薦,台灣小吃,台南市中西區保安路,,,台南市
錦霞樓,米其林餐盤,台菜,台南市中西區,,,台南市
甘旨,米其林餐盤,日式料理,台南市,,,台南市
Haili,米其林一星,法國菜,高雄市前金區成功一路264-1號2樓,07-2150559,,高雄市
承 Sho,米其林一星,日本菜,高雄市前鎮區中華五路806號,,,高雄市
雋,米其林一星,粵菜,高雄市前鎮區復興四路8號,07 338 4885,,高雄市
薩瑪法國小館,米其林餐盤,法國菜,高雄市,,,高雄市
屏東在地小吃,推薦餐廳,台灣小吃,屏東縣,,,屏東縣
阿村牛肉湯,必比登推薦,台灣小吃,台南市中西區保安路,,,台南市
阿輝黑輪,必比登推薦,台灣小吃,台南市,,,台南市
阿明豬心冬粉,必比登推薦,台灣小吃,台南市中西區保安路,,,台南市
阿裕牛肉,必比登推薦,台灣小吃,台南市崑崙路,,,台南市
饕弄杯,必比登推薦,餐酒館,台南市,,,台南市
橄饗家,必比登推薦,義式料理,台南市,,,台南市
帝一鐤,必比登推薦,台菜,台南市,,,台南市
城邊真味炒鱔魚專家,必比登推薦,台灣小吃,台南市,,,台南市
豐之海鮮漁府,必比登推薦,海鮮,台南市,,,台南市
有你真好 湘菜沙龍,必比登推薦,湘菜,台南市,,,台南市
牛五蔵,必比登推薦,燒肉,台南市,,,台南市
Hara Peko,必比登推薦,日式料理,台南市,,,台南市
欣欣餐廳,必比登推薦,台菜,台南市,,,台南市
錦霞樓,必比登推薦,台菜,台南市,,,台南市
寓點,必比登推薦,創意料理,台南市,,,台南市
開元路無名虱目魚,必比登推薦,台灣小吃,台南市開元路,,,台南市
甘旨,必比登推薦,日式料理,台南市,,,台南市
老曾羊肉,必比登推薦,台灣小吃,台南市,,,台南市
香草小餐酒,必比登推薦,餐酒館,台南市,,,台南市
毛蔬,必比登推薦,蔬食,台南市,,,台南市
㕩肉舖,必比登推薦,台灣小吃,台南市,,,台南市
揚梅吐氣,必比登推薦,創意料理,台南市,,,台南市
原則,必比登推薦,義式料理,台南市,,,台南市
順德牛肉湯,必比登推薦,台灣小吃,台南市,,,台南市
沙淘宮廟海產,必比登推薦,海鮮,台南市,,,台南市
王家燻羊肉,必比登推薦,台灣小吃,台南市,,,台南市
溫爸鵝肉,必比登推薦,台灣小吃,台南市,,,台南市
再發號,必比登推薦,傳統糕餅,台南市,,,台南市
葉桑生炒鴨肉焿,必比登推薦,台灣小吃,台南市,,,台南市
添厚,必比登推薦,甜品,台南市,,,台南市
麥謎食驗室,必比登推薦,創意料理,台南市,,,台南市
三禾清豐,必比登推薦,台菜,高雄市,,,高雄市
秋,必比登推薦,日式料理,高雄市,,,高雄市
柏弘肉燥,必比登推薦,台灣小吃,高雄市,,,高雄市
薩瑪法國小館,必比登推薦,法國菜,高雄市,,,高雄市
Capstone Steakhouse,必比登推薦,牛排,高雄市,,,高雄市
長生29,必比登推薦,創意料理,高雄市,,,高雄市
鄭家切仔麵,必比登推薦,台灣小吃,高雄市,,,高雄市
蟳之屋,必比登推薦,海鮮,高雄市,,,高雄市
CRATAIN,必比登推薦,創意料理,高雄市,,,高雄市
鴨肉珍,必比登推薦,台灣小吃,高雄市,,,高雄市
小燉食室,必比登推薦,台菜,高雄市,,,高雄市
賣塩順,必比登推薦,台灣小吃,高雄市,,,高雄市
春蘭割包,必比登推薦,台灣小吃,高雄市,,,高雄市
秀明豬心冬粉,必比登推薦,台灣小吃,高雄市,,,高雄市
良佳豬腳,必比登推薦,台灣小吃,高雄市,,,高雄市
屏東在地美食,必比登推薦,台灣小吃,屏東縣,,,屏東縣
